"filename", "language", "Go", "comment", "blank", "total"
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\controllers\posts.go", "Go", 0, 0, 1, 1
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\controllers\users.go", "Go", 127, 9, 12, 148
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\database\db.go", "Go", 18, 2, 6, 26
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\emails\email_sender.go", "Go", 73, 11, 14, 98
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\middlewares\middlewares.go", "Go", 17, 2, 4, 23
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\models\Post.go", "Go", 37, 3, 7, 47
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\models\User.go", "Go", 70, 5, 9, 84
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\repository\crud\repository_posts_crud.go", "Go", 42, 6, 7, 55
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\repository\crud\repository_users_crud.go", "Go", 145, 15, 20, 180
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\repository\repository_posts.go", "Go", 5, 4, 3, 12
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\repository\repository_users.go", "Go", 27, 2, 5, 34
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\responses\json.go", "Go", 24, 2, 4, 30
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\router\router.go", "Go", 9, 2, 3, 14
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\router\routes\routes.go", "Go", 31, 4, 8, 43
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\router\routes\users_routes.go", "Go", 32, 0, 9, 41
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\security\password.go", "Go", 10, 2, 4, 16
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\server.go", "Go", 21, 4, 6, 31
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\api\utils\channels\channels.go", "Go", 10, 1, 2, 13
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\auto\data.go", "Go", 21, 0, 6, 27
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\auto\load.go", "Go", 21, 11, 5, 37
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\config\config.go", "Go", 21, 2, 5, 28
"c:\Users\Pragmatically-dev\code\go\src\github.com\pragmatically-dev\apirest\src\main\main.go", "Go", 5, 0, 3, 8
"Total", "-", 766, 87, 143, 996
